category,id,zh-cn,en,vn
exchange,block-title.market-trades,实时成交,Market Trades,
exchange,orderbook.Price,价格,Price,
exchange,orderbook.Amount,数量,Amount,
exchange,orderbook.Total,成交额,Total,
exchange,orderbook.digits,{digit} 位小数,{digit} decimal,
exchange,orderbook.digitsmulti,{digit} 位小数,{digit} decimals,
exchange,orderbook.Groups,深度合并,Groups,
exchange,netstatus-market,行情数据更新,Market Status,
exchange,netstatus-history,历史数据更新,History Status,
exchange,netstatus-ok,正常,OK,
exchange,netstatus-delay,延迟,Delay,
exchange,order-table.no-open-data,暂无记录,You have no open orders.,
exchange,order-table.no-close-data,暂无记录,You have no order history.,
exchange,order-table.no-trade-data,暂无记录,You have no trade history.,
exchange,order-table.tab-title.open-order,当前委托,My Open Orders,
exchange,order-table.tab-title.history-order,历史委托,Order History,
exchange,order-table.tab-title.history-trade,历史成交,Trade History,
exchange,order-table.order-status-filled,全部成交,Filled,
exchange,order-table.order-status-canceled,已撤单,Canceled,
exchange,order-table.column.date,委托时间,Date,
exchange,order-table.column.pair,市场,Pair,
exchange,order-table.column.type,类型,Type,
exchange,order-table.column.side,方向,Side,
exchange,order-table.column.price,价格,Price,
exchange,order-table.column.amount,数量,Amount,
exchange,order-table.column.filled,成交率%,Filled%,
exchange,order-table.column.fillamount,成交数量,Filled,
exchange,order-table.column.total,成交金额,Total,
exchange,order-table.column.cancel,全部撤单,Cancel All,
exchange,order-table.column.status,状态,Status,
exchange,order-table.column.average,均价,Average,
exchange,order-table.column.time,成交时间,Time,
exchange,order-table.column.fee,交易手续费,Trading Fee,
exchange,order-table.filter.hide,隐藏其他交易对,Hide other pairs,
exchange,order-table.filter.1-day,一天,1 Day,
exchange,order-table.filter.1-week,一周,1 Week,
exchange,order-table.filter.1-month,一个月,1 Month,
exchange,order-table.filter.3-months,三个月,3 Months,
exchange,order-table.filter.from,起止日期,From,
exchange,order-table.filter.time,起止日期,Time,
exchange,order-table.filter.all,所有交易对,Show All,
exchange,order-table.filter.pairs,交易对,Pairs,
exchange,dialog.confirm-order,确认{action}{currency},Confirm {action} {currency},
exchange,dialog.confirm-cancel,确认取消订单,Confirm Order Cancellation,
exchange,dialog.confirm-cancel-all,确认取消全部订单,Confirm All Orders Cancellation,
exchange,dialog.Cancel,取消,Cancel,
exchange,dialog.OK,确认,OK,
exchange,order-form.title.buy,买入,Buy,
exchange,order-form.title.sell,卖出,Sell,
exchange,order-form.label.price,价格,Price,
exchange,order-form.label.amount,数量,Amount,
exchange,order-form.label.total,成交额,Total,
exchange,order-form.label.fee,手续费,Fee,
exchange,order-form.column.price,价格,Price,
exchange,order-form.column.amount,数量,Amount,
exchange,order-form.column.fee,委单手续费,Fee,
exchange,order-form.column.total,成交金额,Total,
exchange,order-form.valid.price,价格必须高于{value},Price must be greater than {value},
exchange,order-form.valid.amount,数量必须高于{value},Amount must be greater than {value},
exchange,order-form.valid.total,成交额必须高于{value},Total must be greater than {value},
exchange,order-form.valid.number,请输入有效数字,Please input valid number,
exchange,order-form.button.login,登录,Login in,
exchange,order-form.button.or,或,or,
exchange,order-form.button.register,立即注册,Register,
exchange,order-form.button.to-trade,进行交易,to trade,
exchange,order-form.fee-desc,Cybex是基于区块链技术的去中心化交易所，委单操作需要收取上链手续费。,"Cybex is a decentralized exchange based on blockchain technology, and requires a transaction fee for Bid/Ask action.",
errorMessage,404,页面暂时不可访问。,The page could not be found.,
tooltip,generated,<span>系统推荐密码由您的浏览器本地生成。<br /><br /><strong>只有您有此密码的获取权限。</strong><br /><br /> 此密码具备较高的安全强度，若需要使用该密码，可直接复制并粘贴到密码输入框，并务必备份好该密码。</span>,"<span>The generated password was created by your browser, locally.<br /><br /><strong>No one but you can access it.</strong><br /><br /> Please paste it below and save a copy in a safe place. </span>",
tooltip,balance_all,<p>这是你所有资产的估值，包含了在界面中设置了隐藏的资产、委单中的资产、债仓及抵押物。</p><p>估值采用实时获得的区块链上的价格，可能不那么精确。</p>,"<p>This is the estimated value of all your assets, including any hidden assets, open orders, debt and collateral.</p><p>Estimation is using only live blockchain data and may not be perfectly accurate.</p>",
tooltip,small_asset,<p>估值小于{smallAmount}CYB的资产</p>,<p>Estimated total balance less than {smallAmount} CYB</p>,
validation,validcode_required,请输入验证码,Enter verification code,
validation,pwd_too_short,密码必须至少包含12位字符,Password must be at least 12 characters,
validation,pwd_number,密码必须至少包含一个数字、大写字母、小写字母和特殊字符,"Password must contain upper case, lower case, numbers and special characters",
validation,pwd_strength,密码强度：%s,Password strength：%s,
validation,account_required,请输入账户名,Enter account name,
validation,pwd_required,请输入密码,Enter password,
validation,pwd_unmatched,两次输入的密码不一致,Password unmatched,
validation,pwd_repeat,请再次输入密码,Enter password again,
validation,account_not_exists,账户名或密码错误,Incorrect account name or password,
validation,account_too_short,账户名过短,Account name should be longer,
validation,account_slash,账户名必须至少包含一个数字或横杠,Account name should contain at least one dash or a number,
validation,account_slash_limit,账户名不能包含连续的横杠,Account name should not contain continuous dashes,
validation,account_alpha,账户名必须以小写字母开始,Account name should start with a lowercase letter,
validation,account_number,账户名必须以小写字母或数字结尾,Account name should end with a lowercase letter or number,
validation,account_no_sign,账户名仅能包含小写字母、数字、横杠,"Account name should only contain lowercase letters, dashes, or numbers",
validation,invalid_address,非法 {cointype} 地址格式，请检查,Invalid {cointype} Address,
validation,not_enough_balance,余额不足,Not enough balances,
validation,pwd_wrong,密码错误,Invalid password,
validation,too_low_amount,小于最小金额 {minAmount} {cointype},Less than minimum {minAmount} {cointype},
validation,too_high_amount,数量超限,Amount is beyond the limitation,
validation,invalid_memo_XRP,非法的TAG，请检查,Invalid TAG,
checkbox_label,warn_no_forgot,我已经充分地知晓并理解，如果忘记密码，我将失去获取并使用此账户资金的途径,I understand that I will lose access to my funds if I lose my password,
checkbox_label,warn_no_restore,我已经充分地知晓并理解，如果忘记密码，没有任何人能够帮助我恢复,I understand that no one can recover my password if I lose or forget it,
checkbox_label,warn_backup,我已经写下或用其他方式妥善保存了我的密码,I have written down or otherwise stored my password,
checkbox_label,warn_really_logout,我很清楚自己在做什么，我确实希望登出我的账户,"I really want to logout, and I know what I am doing",
checkbox_label,never_show_again,不再提醒,Don't show again,
info,cloud_wallet_desc1,云钱包模式在创建和登录时即时使用您提供的密码和账户名衍生出私钥，因此在同一时间只能登录一个Cybex账户。,"The cloud wallet uses a password in combination with your account name to generate your private keys on the fly. It restricts you to only logging in with one account at a time, in return for ease of use and convenience.",
info,cloud_wallet_desc2,为了保障您的资产安全，我们推荐您使用20位以上的长密码，您可以使用系统推荐密码获得一个随机长密码。,"We highly recommed to use password with more than 20 characters for the safety of your digital assets, you can easily get an appropriate password through our ""Use Generated Password"" section.",
info,access_anywhere,你可以从任何地方登录自己的账户，包括了不同的电脑、不同的浏览器，只需要账户名和密码。但请务必使用一个较为安全的密码,"The cloud wallet lets you login to your wallet from anywhere using only your account name and password, but a strong password is highly recommended!",
info,start_exchange,点击下方按钮前往交易所开始交易,Click the button below to start exploring.,
info,no_available_pair,暂无交易对,No available pairs,
info,logout,请仔细阅读下面的说明并确认您已理解全部内容。点击“登出”按钮，您的账户信息将会被清除。,"Please read and confirm the statments below carefully, then click the 'Logout' button, the browser will reload current page. Your account information will be erased.",
info,no_data,暂无数据,No data,
info,no_found1_1,啊嘞!,Uh-oh!,
info,no_found1_2,哎呀!,Ooops!,
info,no_found2,此页面不存在,Page not found,
info,eos_notice.EOS,请注意，MEMO和地址同时使用才能充值EOS到Cybex,Both a MEMO and an Address are required to successfully deposit your EOS to Cybex,
info,eos_notice.XRP,请注意，Tag和地址同时使用才能充值XRP到Cybex,Both a Tag and an Address are required to successfully deposit your XRP to Cybex,
info,go_deposit_history,"充值完成后，您可以在 <a href=""{url}"">充提记录</a> 页面跟踪状态","After making a deposit, you can track its progress on the <a href=""{url}"">D/W Record</a> page",
info,go_withdraw_history,"提现完成后，您可以在 <a href=""{url}"">充提记录</a> 页面跟踪状态","After making a withdrawal, you can track its progress on the <a href=""{url}"">D/W Record</a> page",
info,deposit_paused,{cointype}当前禁用充值,{cointype} deposit disabled temporarily,
info,withdraw_paused,{cointype}当前禁用提现,{cointype} withdrawal disabled temporarily,
info,about,关于我们,Cybex Introduction,
info,feedback,帮助中心,Help Center,
info,asset_intro,数字资产介绍,Asset Introduction,
info,some_error,页面错误,Error Page,
info,version_notice,<h3>亲爱的赛贝CYBEX用户：</h3><br/><br/><span>赛贝CYBEX交易所即日起正式启用2.0版本交易所，交易界面全新改版，</span><p class='mt-0'>让交易更清晰简洁！</p><br/><p>如您仍需访问1.0版本交易所，请点击以下链接：</p>,"<h3>Dear CYBEXers: </h3><br/><br/><p>CYBEX Exchange has updated to a historic 2.0 Version with brand new trading interface that optimizes your trading experiences!</p><br/><p>If you still want to use the former 1.0V, please go to:</p>",
info,old_site,前往旧版,Old Version,
info,new,新建,New,
info,online,正在上链,Online,
info,init,正在上链,Init,
info,pending,待确认,Pending,
info,done,成功,Done,
info,failed,失败,Failed,
button,create_wallet_account,创建云钱包账户,Create Cloud Wallet Account,
button,create_account,创建账户,Create Account,
button,wallet_login,云钱包账户登录,Cloud Wallet Login,
button,login,登录,Login,
button,close,关闭,Close,
button,deposit,充值,Deposit,
button,withdraw,提现,Withdraw,
button,exchange,交易,Exchange,
button,transfer,转账,Transfer,
button,history,充提记录,History,
button,ok,确认,Confirm,
button,cancel,取消,Cancel,
button,unlock,解锁,Unlock,
button,copy-addr,复制地址,Copy Address,
button,new-addr,刷新地址,Refresh Address,
button,copy-memo,复制备注,Copy Memo,
button,address,地址薄,Address Book,
button,all,所有  ,ALL,
button,view_detail,查看详情,View Detail,
button,unlock_continue,解锁钱包继续,Unlock Wallet to Continue,
button,claim,申领,Claim,
button,unlock_view,解锁钱包查看,Unlock Wallet to View,
button,go_home,返回首页,Lets's go home,
button,pause,暂停,Suspend,
button,logout,登出,Logout,
button,go_refresh,刷新页面,Refresh,
tag,single,单一账户,Single account,
tag,simple,操作简单,Easy Use,
placeholder,account_name,账户名,Account Name,
placeholder,password,密码,Password,
placeholder,market_filter,查询币种,Filter currencies,
placeholder,dw_filter,查询币种,Please input keyword of the coin,
placeholder,no_data,暂无数据,No data,
placeholder,search_asset,搜索资产,Search,
placeholder,enter_password,请输入密码,Enter password,
placeholder,enter_pwdrepeat,请再次输入密码,Enter password again,
placeholder,enter_account,请输入账户名,Enter account name,
placeholder,min_amount,最小提现金额 {minAmount} {cointype},Minimum {minAmount} {cointype},
placeholder,enter_address,请在此输入或粘贴地址,Enter or paste address,
message,copied,已复制,Copied,
message,create_error,账户创建错误: {error},Account Create Error: {error},
message,some_error,发生错误: {error},Error: {error},
message,login_succ,登录成功,Login Successfully,
message,unlock_succ,解锁成功,Unlock Successfully,
message,refresh_too_often,验证码刷新过于频繁，请稍后再试,"Refresh too frequently, please retry later",
message,request_too_often,请求过于频繁，请稍后再试,"Request too frequently, please retry later",
message,pwd_unmatched,密码错误,Wrong Password,
message,locked_succ,已锁定,Locked,
message,withdraw_succ,提现申请成功,Withdrawal request submitted successfully,
message,order_pended,挂单成功,Order Pended,
message,order_pended_failed,挂单失败，请稍后重试,Pending failed. Try again later,
message,order_canceled,撤单成功,Order Cancelled,
message,order_canceled_failed,撤单失败，请稍后重试,Cancellation failed. Try again later,
table_title,coin,币种,Coin,
table_title,volume,成交量,Volume,
table_title,price,价格,Price,
table_title,change,涨跌,Change,
table_title,avaliable_balance,可用余额,Available Balances,
table_title,balance_value,市值(CYB),CYB Value,
table_title,frozen,冻结中,Frozen,
table_title,operation,操作,Operation,
table_title,asset,币种,Asset,
table_title,amount,数量,Amount,
table_title,address,地址,Address,
table_title,status,状态,Status,
table_title,time,时间,Date,
table_title,type,类型,Type,
table_title,expiration,到期时间,Expiration Time,
tab_label,subscribed,已收藏,Favorite,
tab_label,portfolio,资产列表,Portfolio,
tab_label,lockup,锁定期资产,Lockup Assets,
label,pagination,第 {start} 至 {end} 条 共 {total} 条,{start}-{end} of {total},
error,connect_error,服务器繁忙，请稍后再试,"Server busy,try again later",
error,S_faucet_verify_code,,,
error,S_faucet_register,,,
error,S_node_unlock,,,
error,S_nocoin_get_deposit,,,
error,S_gateway_get_deposit,,,
error,S_gateway_withdraw_info,,,
error,S_config_withdraw_info,,,
error,S_node_withdraw,,,
error,S_config_trade,未知交易市场,Unknown market,
error,S_node_trade,,,
error,UB_ip_verify_code,,,
error,UB_user_exist_register,用户名已存在,Account name is already taken.,
error,E_register_password,密码需包含大小写字母、数字、特殊字符，长度不少于12个字符,"Password must contain upper case, lower case, numbers and special characters",
error,UB_code_register,验证码错误,Incorrect verification code,
error,UB_ip_register,请求过于频繁，请稍后再试,"Request too frequently, please retry later",
error,UB_fail_login,账户名或密码错误,Incorrect account name or password,
error,UB_fail_unlock,密码错误,Incorrect password,
error,UB_nouser_get_deposit,,,
error,UB_balance_withdraw,余额不足,Not enough balances,
error,UF_withdraw_min,小于最小提现额,Less than the minimum withdrawal amount,
error,UB_fee_withdraw,手续费不足,Not enough fee,
error,UB_authority_transfer,暂无转账权限,No transfer permission,
error,UB_memokey_transfer,暂无转账权限,No transfer permission,
error,UB_balance_trade,余额不足,Not enough balances,
error,UF_trade_price,不用提示用户，超出精度不允许输入,,
error,UB_fee_trade,手续费不足,Not enough fee,
error,UB_nouser_transfer,,,
error,UB_balance_transfer,,,
error,UB_fee_transfer,,,
error,UB_noid_cancel_order,,,
error,UB_fee_cancel_order,手续费不足,Not enough fee,
selection,all,显示全部,Show All,
